                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3485,                 1.3112,                 1.2592,                0.95046,                0.51467,                0.58978,                0.36607,                 1.3565,                0.96406,                 1.2541,             0.00047356,             0.00047356,             0.00047356
                      2,                 1.2826,                0.82665,                 1.2065,                0.94503,                0.59041,                0.64017,                0.41588,                 1.2545,                0.74572,                 1.2232,             0.00093109,             0.00093109,             0.00093109
                      3,                  1.264,                0.79092,                 1.1933,                0.93403,                0.57204,                0.62609,                0.38855,                 1.3163,                0.75816,                 1.2764,              0.0013698,              0.0013698,              0.0013698
                      4,                 1.2721,                0.79908,                 1.2043,                0.94734,                  0.596,                0.63655,                0.41558,                 1.2433,                0.66391,                 1.2095,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2498,                0.76024,                 1.1865,                0.95081,                0.59944,                0.64468,                0.42561,                 1.2347,                0.64009,                 1.2074,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2264,                0.72906,                 1.1753,                0.95804,                0.60246,                0.64474,                0.42391,                 1.2198,                0.62859,                 1.1856,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2289,                0.71691,                 1.1756,                0.95393,                0.60468,                0.64837,                0.43503,                 1.1904,                0.66378,                 1.1848,              0.0012592,              0.0012592,              0.0012592
                      8,                  1.206,                0.69534,                 1.1608,                0.95692,                0.60997,                0.64803,                0.43553,                 1.2099,                0.58821,                 1.1959,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1935,                0.68221,                 1.1571,                0.95692,                0.61867,                0.64753,                0.43883,                 1.1803,                0.58804,                 1.1765,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1872,                0.66392,                 1.1527,                0.95919,                0.61243,                0.65367,                0.43669,                 1.2157,                 0.5769,                 1.1896,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1797,                0.65398,                 1.1438,                 0.9549,                0.61431,                0.64629,                0.43038,                  1.208,                0.59199,                 1.1803,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1555,                0.63824,                 1.1342,                0.95667,                0.62018,                0.65508,                0.44119,                  1.189,                0.56186,                 1.1747,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1581,                0.63793,                 1.1289,                0.96204,                0.62078,                0.65516,                0.44448,                 1.1775,                0.54262,                 1.1678,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1591,                0.62909,                 1.1304,                0.96437,                0.61243,                0.65463,                0.44361,                 1.1863,                0.54366,                   1.17,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1404,                 0.6105,                  1.121,                0.96299,                0.61833,                0.65503,                0.44846,                 1.1594,                0.54197,                 1.1504,              0.0010329,              0.0010329,              0.0010329
